iter	Logloss
0	0.6860962715
1	0.6797023328
2	0.673220491
3	0.6673290011
4	0.6615096131
5	0.656802821
6	0.6512191168
7	0.6462236869
8	0.6411892478
9	0.6363221408
10	0.630590838
11	0.6255410526
12	0.6211278156
13	0.6165187624
14	0.6121375479
15	0.6082256068
16	0.6037757182
17	0.5996850183
18	0.5954652978
19	0.5911537768
20	0.5873301076
21	0.5834064
22	0.5794926608
23	0.575181453
24	0.5716370929
25	0.5681460882
26	0.5650768198
27	0.5617776305
28	0.5583156644
29	0.5550980867
30	0.5520686285
31	0.5485387505
32	0.5456429427
33	0.5427449526
34	0.5399093768
35	0.5372000948
36	0.5344625344
37	0.5318876001
38	0.5291891332
39	0.5266042936
40	0.5238230004
41	0.521422789
42	0.5192770305
43	0.5170343239
44	0.5149526909
45	0.5128687296
46	0.5107896045
47	0.5082959482
48	0.5062832271
49	0.5041056119
50	0.502094603
51	0.5002565138
52	0.4983751547
53	0.496455869
54	0.4949146647
55	0.4933313756
56	0.4918596309
57	0.4902670712
58	0.4884325272
59	0.4869185679
60	0.4853127072
61	0.4838766518
62	0.4822724159
63	0.4807115622
64	0.4793645149
65	0.4782072009
66	0.4769056841
67	0.47561418
68	0.4743502662
69	0.4731393682
70	0.4719530688
71	0.4706170008
72	0.4695255565
73	0.4683389206
74	0.4672109878
75	0.4660430904
76	0.4649195736
77	0.4639370833
78	0.4628193067
79	0.4618129095
80	0.4605712354
81	0.4595366123
82	0.4585796788
83	0.4576366072
84	0.4566200572
85	0.4558250387
86	0.455006714
87	0.454115151
88	0.4532354688
89	0.4523594554
90	0.4513329941
91	0.4505402541
92	0.4496948422
93	0.4487364692
94	0.447959853
95	0.4473220176
96	0.4465970319
97	0.4458785794
98	0.445108907
99	0.4443405851
100	0.4435402593
101	0.4429409307
102	0.4422794424
103	0.4415043035
104	0.4408265329
105	0.4402879678
106	0.4397345024
107	0.4389951256
108	0.4384436981
109	0.4379086739
110	0.4373285589
111	0.4367365627
112	0.4361613788
113	0.4356313196
114	0.4350760303
115	0.4344768499
116	0.4339882896
117	0.4335264162
118	0.4330461813
119	0.4325302008
120	0.4317812801
121	0.4312129884
122	0.4307414532
123	0.4302954128
124	0.4299020971
125	0.4294283395
126	0.4290905632
127	0.4287325246
128	0.4283106917
129	0.4279222645
130	0.4275437635
131	0.4269593522
132	0.4265758787
133	0.4262208678
134	0.4259385889
135	0.4256178268
136	0.4251226124
137	0.4246114892
138	0.4241195424
139	0.4237679078
140	0.4233520422
141	0.4230115218
142	0.4226019061
143	0.4221914105
144	0.4218763302
145	0.4214297539
146	0.4210007066
147	0.4206582833
148	0.4203434343
149	0.4201106395
150	0.4196512303
151	0.419352672
152	0.4191081361
153	0.4188332502
154	0.4186015396
155	0.4183354045
156	0.4180315848
157	0.4177868815
158	0.4173861498
159	0.4171117751
160	0.4168425219
161	0.4165333183
162	0.4163087673
163	0.4160138129
164	0.4157069525
165	0.4153571035
166	0.4151456854
167	0.4149312145
168	0.4146620708
169	0.4143274862
170	0.4139731398
171	0.4137263646
172	0.4135533458
173	0.4133449903
174	0.4130319393
175	0.4129422011
176	0.4127081205
177	0.4125055731
178	0.4122982305
179	0.4121014228
180	0.4118612638
181	0.4117777857
182	0.4115716106
183	0.4113059273
184	0.4111143502
185	0.4108298911
186	0.4105594893
187	0.4104027777
188	0.4101801262
189	0.4099912301
190	0.4097557591
191	0.4095561677
192	0.4093637308
193	0.4091698212
194	0.4089693142
195	0.4088098975
196	0.4086384778
197	0.4084496669
198	0.4081793146
199	0.4079938163
200	0.4077893986
201	0.407593833
202	0.4074316906
203	0.4072150342
204	0.4070417156
205	0.4068881532
206	0.4067054087
207	0.4065398101
208	0.4064122708
209	0.4062693104
210	0.4060983954
211	0.4059760315
212	0.4057475252
213	0.4056069955
214	0.4054308055
215	0.4052286038
216	0.405108982
217	0.40501495
218	0.4049062633
219	0.4047305794
220	0.4045371111
221	0.4043249559
222	0.4041822376
223	0.4039847368
224	0.4038419117
225	0.4037224013
226	0.4036065477
227	0.4033939883
228	0.4032889261
229	0.4031510302
230	0.4030456385
231	0.4029116347
232	0.4027853824
233	0.4026813098
234	0.402525924
235	0.4023953636
236	0.4022185043
237	0.4021571241
238	0.4020225622
239	0.4018583097
240	0.401746896
241	0.4015996324
242	0.4014199057
243	0.4013206424
244	0.4012460886
245	0.401096031
246	0.4009905072
247	0.4008533141
248	0.4007388292
249	0.4006376552
250	0.4005495997
251	0.4004512865
252	0.4003742327
253	0.4002522522
254	0.4000793094
255	0.399939039
256	0.3998498642
257	0.3997545774
258	0.3996471793
259	0.399523367
260	0.3994146574
261	0.3992775324
262	0.3991944393
263	0.3990833453
264	0.3989318047
265	0.3988547976
266	0.3987311198
267	0.398638294
268	0.3985419872
269	0.3984353841
270	0.3983031096
271	0.3981911075
272	0.3981550786
273	0.3980565728
274	0.397962353
275	0.3978869659
276	0.397805314
277	0.3976790082
278	0.3975647991
279	0.3974739677
280	0.3973657549
281	0.3972808668
282	0.3971388875
283	0.3970570399
284	0.3969628746
285	0.3968394309
286	0.3967238433
287	0.3966271024
288	0.3965412688
289	0.3964603635
290	0.3963650118
291	0.3962462592
292	0.3960978514
293	0.3960141196
294	0.3959375819
295	0.3958589698
296	0.3957379339
297	0.3956924739
298	0.3955931634
299	0.3955340183
300	0.3954828954
301	0.3953721289
302	0.395277437
303	0.3952456115
304	0.3951463852
305	0.3950593994
306	0.3949102945
307	0.3948123263
308	0.3947369738
309	0.3946591973
310	0.3945920611
311	0.3945341546
312	0.3944628116
313	0.3943985633
314	0.394305845
315	0.3942481194
316	0.3941760806
317	0.3940623125
318	0.3940204326
319	0.3939362324
