iter	Passed	Remaining
0	14	7082
1	29	7287
2	32	5454
3	36	4507
4	39	3958
5	43	3615
6	47	3337
7	51	3136
8	54	2980
9	60	2940
10	76	3393
11	80	3272
12	107	4037
13	111	3878
14	121	3925
15	137	4146
16	142	4054
17	146	3929
18	150	3817
19	154	3713
20	160	3652
21	167	3642
22	182	3792
23	186	3705
24	198	3765
25	213	3900
26	228	3998
27	244	4116
28	260	4236
29	265	4162
30	276	4183
31	280	4109
32	284	4032
33	291	4000
34	296	3934
35	323	4169
36	327	4103
37	351	4271
38	357	4230
39	366	4217
40	372	4173
41	376	4110
42	382	4069
43	389	4038
44	394	3989
45	398	3934
46	403	3890
47	411	3875
48	415	3823
49	421	3797
50	458	4035
51	462	3984
52	473	3996
53	489	4044
54	521	4220
55	535	4245
56	540	4197
57	543	4145
58	547	4095
59	553	4061
60	557	4015
61	565	3995
62	579	4022
63	596	4062
64	601	4028
65	606	3987
66	610	3946
67	614	3903
68	620	3873
69	626	3846
70	630	3807
71	642	3819
72	646	3781
73	651	3752
74	655	3716
75	687	3838
76	691	3797
77	694	3758
78	698	3720
79	701	3684
80	705	3648
81	708	3612
82	711	3576
83	717	3551
84	720	3518
85	724	3487
86	727	3454
87	732	3430
88	736	3400
89	739	3369
90	743	3339
91	747	3314
92	750	3286
93	754	3259
94	757	3231
95	761	3204
96	765	3181
97	769	3155
98	772	3129
99	776	3104
100	782	3091
101	786	3068
102	789	3044
103	793	3020
104	798	3004
105	802	2981
106	805	2960
107	809	2938
108	814	2922
109	818	2901
110	822	2880
111	825	2860
112	830	2843
113	833	2823
114	837	2803
115	840	2782
116	845	2766
117	848	2747
118	852	2728
119	855	2709
120	858	2690
121	863	2675
122	867	2658
123	870	2640
124	874	2622
125	879	2611
126	883	2594
127	887	2577
128	890	2561
129	896	2550
130	914	2574
131	917	2559
132	921	2542
133	926	2530
134	930	2516
135	934	2499
136	937	2483
137	942	2471
138	945	2456
139	949	2441
140	953	2426
141	957	2413
142	962	2402
143	974	2408
144	978	2395
145	982	2381
146	985	2366
147	990	2355
148	994	2343
149	998	2329
150	1002	2316
151	1008	2309
152	1012	2296
153	1016	2284
154	1020	2270
155	1026	2262
156	1029	2250
157	1033	2237
158	1050	2252
159	1058	2248
160	1062	2236
161	1065	2224
162	1069	2211
163	1074	2200
164	1078	2188
165	1081	2176
166	1086	2165
167	1090	2155
168	1094	2143
169	1098	2131
170	1102	2121
171	1106	2110
172	1110	2099
173	1114	2088
174	1119	2078
175	1121	2064
176	1125	2053
177	1129	2042
178	1132	2031
179	1137	2022
180	1141	2011
181	1143	1997
182	1146	1986
183	1151	1976
184	1154	1965
185	1158	1955
186	1161	1944
187	1165	1933
188	1169	1925
189	1173	1914
190	1176	1903
191	1180	1893
192	1185	1885
193	1188	1875
194	1192	1865
195	1195	1854
196	1200	1847
197	1204	1837
198	1208	1827
199	1211	1817
200	1215	1807
201	1229	1814
202	1235	1806
203	1238	1797
204	1242	1787
205	1245	1777
206	1250	1769
207	1253	1760
208	1257	1750
209	1260	1740
210	1265	1733
211	1269	1724
212	1272	1714
213	1276	1706
214	1280	1698
215	1284	1688
216	1288	1679
217	1291	1670
218	1294	1661
219	1300	1654
220	1303	1646
221	1307	1636
222	1310	1628
223	1315	1621
224	1319	1612
225	1322	1603
226	1326	1595
227	1331	1588
228	1335	1580
229	1338	1571
230	1342	1563
231	1347	1556
232	1350	1547
233	1353	1538
234	1357	1530
235	1361	1522
236	1364	1514
237	1367	1505
238	1370	1496
239	1373	1488
240	1377	1480
241	1396	1488
242	1399	1480
243	1403	1472
244	1406	1464
245	1411	1456
246	1414	1448
247	1418	1440
248	1421	1432
249	1426	1426
250	1429	1418
251	1433	1410
252	1436	1402
253	1439	1394
254	1444	1387
255	1447	1379
256	1451	1372
257	1454	1364
258	1458	1357
259	1461	1349
260	1465	1341
261	1468	1334
262	1472	1326
263	1476	1320
264	1480	1312
265	1483	1305
266	1487	1297
267	1491	1290
268	1494	1283
269	1497	1275
270	1501	1268
271	1504	1261
272	1508	1254
273	1511	1246
274	1515	1239
275	1518	1232
276	1522	1225
277	1526	1218
278	1530	1212
279	1533	1205
280	1537	1198
281	1542	1192
282	1546	1185
283	1549	1178
284	1553	1171
285	1559	1166
286	1563	1160
287	1566	1153
288	1570	1146
289	1605	1162
290	1610	1156
291	1616	1151
292	1624	1147
293	1629	1141
294	1634	1135
295	1640	1130
296	1668	1140
297	1676	1136
298	1683	1131
299	1691	1127
300	1708	1129
301	1714	1123
302	1723	1120
303	1742	1123
304	1748	1118
305	1774	1124
306	1781	1120
307	1789	1115
308	1795	1109
309	1804	1105
310	1810	1100
311	1815	1093
312	1823	1089
313	1827	1082
314	1839	1080
315	1847	1075
316	1858	1072
317	1864	1067
318	1879	1066
319	1886	1061
320	1891	1054
321	1895	1048
322	1901	1042
323	1906	1035
324	1911	1029
325	1917	1023
326	1921	1016
327	1925	1009
328	1929	1003
329	1936	997
330	1940	990
331	1944	984
332	1951	978
333	1955	971
334	1958	964
335	1963	958
336	1969	952
337	1973	945
338	1977	939
339	1984	933
340	1988	927
341	1992	920
342	1997	914
343	2001	907
344	2005	900
345	2009	894
346	2014	888
347	2018	881
348	2022	875
349	2025	867
350	2030	861
351	2034	855
352	2038	848
353	2041	842
354	2047	836
355	2051	829
356	2055	823
357	2059	816
358	2064	810
359	2068	804
360	2075	799
361	2091	797
362	2095	791
363	2105	786
364	2109	780
365	2113	773
366	2116	767
367	2120	760
368	2123	754
369	2128	747
370	2132	741
371	2135	734
372	2139	728
373	2144	722
374	2147	715
375	2150	709
376	2154	702
377	2159	696
378	2163	690
379	2167	684
380	2171	678
381	2182	674
382	2197	671
383	2200	664
384	2204	658
385	2209	652
386	2213	646
387	2217	640
388	2220	633
389	2225	627
390	2229	621
391	2232	615
392	2236	608
393	2240	602
394	2244	596
395	2248	590
396	2251	584
397	2255	578
398	2259	572
399	2263	565
400	2266	559
401	2270	553
402	2288	550
403	2291	544
404	2295	538
405	2298	532
406	2302	526
407	2305	519
408	2308	513
409	2312	507
410	2315	501
411	2319	495
412	2323	489
413	2326	483
